,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 3,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
bmb94857,belinda.bailey@univ.edu,3,Belinda,Bailey,60.0,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100,9,0.83,0.95,0.87,0.822972972972973,0.8281865079365079,0.8281865079365079,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7570981325863679,76.0,C
nsb43944,nathan.bates@univ.edu,3,Nathan,Bates,68.0,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100,6,0.71,0.76,0.82,0.8432432432432433,0.843793650793651,0.843793650793651,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6778998132586369,68.0,D
mxb67936,michael.benton@univ.edu,3,Michael,Benton,54.0,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100,17,0.78,0.91,0.91,0.7581081081081081,0.7703809523809524,0.7703809523809524,0.2463768115942029,1.0,1.0,0.874652380952381,88.0,B
bxb28023,bradley.bryan@univ.edu,3,Bradley,Bryan,55.0,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100,8,0.96,0.82,0.66,0.8527027027027027,0.8523531746031747,0.8527027027027027,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.7112575516693165,72.0,C
sxc85021,scott.cervantes@univ.edu,3,Scott,Cervantes,51.0,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100,9,0.6,1.0,0.89,0.8364864864864865,0.8481984126984129,0.8481984126984129,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.76160289449113,77.0,C
jgc21028,jill.clark@univ.edu,3,Jill,Clark,70.0,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100,14,0.62,0.94,0.88,0.8243243243243243,0.8183769841269841,0.8243243243243243,0.2028985507246377,0.8235294117647058,0.8235294117647058,0.8337885532591416,84.0,B
lxd16906,luke.davidson@univ.edu,3,Luke,Davidson,49.0,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100,14,0.92,0.62,0.6,0.8297297297297297,0.82775,0.8297297297297297,0.2028985507246377,0.8235294117647058,0.8235294117647058,0.7769507154213036,78.0,C
rxd55884,rachel.dennis@univ.edu,3,Rachel,Dennis,73.0,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100,7,0.72,0.98,0.86,0.7837837837837838,0.7874642857142857,0.7874642857142857,0.10144927536231885,0.4117647058823529,0.4117647058823529,0.7015151260504202,71.0,C
axd67070,amy.dunn@univ.edu,3,Amy,Dunn,72.0,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100,6,0.93,0.96,0.86,0.7864864864864864,0.7852261904761905,0.7864864864864864,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6919769475357711,70.0,C
nxe44872,nicole.edwards@univ.edu,3,Nicole,Edwards,62.0,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100,9,0.89,0.63,0.65,0.8391891891891892,0.8411746031746032,0.8411746031746032,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.700293370681606,71.0,C
pxe53402,patricia.evans@univ.edu,3,Patricia,Evans,57.0,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100,8,0.72,0.91,0.68,0.7945945945945946,0.8006666666666667,0.8006666666666667,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.690443137254902,70.0,C
jgf12345,john.g.2.flower@univ.edu,3,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100,8,0.72,0.83,0.77,0.7702702702702703,0.7657103174603176,0.7702702702702703,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.6837845786963435,69.0,D
axf16145,ashlee.foster@univ.edu,3,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100,17,0.73,0.61,0.74,0.8337837837837838,0.8233690476190476,0.8337837837837838,0.2463768115942029,1.0,1.0,0.8420135135135135,85.0,B
llf55044,linda.friedman@univ.edu,3,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100,8,0.64,0.86,0.7,0.8094594594594594,0.8095992063492063,0.8095992063492063,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.6880161531279179,69.0,D
abg77872,april.greer@univ.edu,3,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100,13,0.74,0.71,0.94,0.7472972972972973,0.7466269841269841,0.7472972972972973,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.7773306836248013,78.0,C
dxj78877,dylan.johnson@univ.edu,3,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100,15,0.72,0.64,0.99,0.731081081081081,0.7376666666666666,0.7376666666666666,0.21739130434782608,0.8823529411764706,0.8823529411764706,0.8082725490196079,81.0,B
pmj37756,paul.johnson@univ.edu,3,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100,9,0.84,0.8,0.94,0.7351351351351352,0.7333253968253968,0.7351351351351352,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7158775834658189,72.0,C
rsj94156,robert.johnston@univ.edu,3,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100,13,0.98,0.61,0.74,0.7594594594594595,0.7551984126984127,0.7594594594594595,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.7541955484896661,76.0,C
sxj49423,sarah.jones@univ.edu,3,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100,15,0.89,0.68,0.94,0.7243243243243244,0.7177698412698412,0.7243243243243244,0.21739130434782608,0.8823529411764706,0.8823529411764706,0.807935612082671,81.0,B
dsl24347,danielle.lee@univ.edu,3,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100,10,0.62,0.7,0.9,0.822972972972973,0.8168650793650792,0.822972972972973,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7416597774244833,75.0,C
tgl37922,tammy.leon@univ.edu,3,Tammy,Leon,63.0,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,88,100,90,100,87,100,17,0.88,0.9,0.87,0.8094594594594594,0.8022500000000001,0.8094594594594594,0.2463768115942029,1.0,1.0,0.8882837837837838,89.0,B
kxm62826,kimberly.mccall@univ.edu,3,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100,10,0.79,0.98,0.6,0.8378378378378378,0.8313452380952381,0.8378378378378378,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7391057233704292,74.0,C
axm26865,anthony.miller@univ.edu,3,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100,13,0.73,0.68,0.93,0.8,0.7939404761904763,0.8,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.7934117647058824,80.0,B
bxm17365,brett.miranda@univ.edu,3,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100,15,0.82,0.94,0.95,0.7878378378378378,0.7983888888888889,0.7983888888888889,0.21739130434782608,0.8823529411764706,0.8823529411764706,0.8615614379084968,87.0,B
njp08545,nicole.patterson@univ.edu,3,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100,10,0.96,0.91,0.95,0.8175675675675675,0.8152579365079365,0.8175675675675675,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7849976152623211,79.0,C
jxp06435,jeffrey.perez@univ.edu,3,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100,12,0.67,0.81,0.95,0.7959459459459459,0.7894603174603174,0.7959459459459459,0.17391304347826086,0.7058823529411765,0.7058823529411765,0.7871430842607314,79.0,C
mxp86000,melissa.poole@univ.edu,3,Melissa,Poole,62.0,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,88,100,97,100,83,100,17,0.88,0.97,0.83,0.8432432432432433,0.8476111111111113,0.8476111111111113,0.2463768115942029,1.0,1.0,0.9045444444444446,91.0,A
rxp56459,ricardo.price@univ.edu,3,Ricardo,Price,77.0,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,68,100,92,100,75,100,8,0.68,0.92,0.75,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.7086256769374416,71.0,C
txr84689,timothy.ramirez@univ.edu,3,Timothy,Ramirez,72.0,80,73,80,65,80,73,100,49,70,79,90,49,50,57,70,54,60,51,60,84,100,69,100,87,100,13,0.84,0.69,0.87,0.8405405405405405,0.8477063492063494,0.8477063492063494,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.8099943043884221,81.0,B
tbr17292,troy.raymond@univ.edu,3,Troy,Raymond,50.0,80,59,80,79,80,98,100,65,70,68,90,44,50,66,70,45,60,49,60,91,100,67,100,100,100,14,0.91,0.67,1.0,0.8418918918918918,0.8403650793650794,0.8418918918918918,0.2028985507246377,0.8235294117647058,0.8235294117647058,0.8463155802861685,85.0,B
lcr30757,laura.reid@univ.edu,3,Laura,Reid,51.0,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,64,100,86,100,86,100,10,0.64,0.86,0.86,0.7027027027027027,0.7089761904761904,0.7089761904761904,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7070610644257703,71.0,C
